,MGI_Symbol,7558_S28,7707_S27,7713_S29,7715_S30,7801_S23,7802_S26,7803_S24,7804_S20,7805_S21,7807_S25
ENSMUSG00000021957,Tkt,28.113,26.867,28.561,36.897,43.976,38.601,35.557,34.51,41.254,42.38
ENSMUSG00000021958,Pinx1,9.889,9.269,9.428,8.667,17.979,11.407,20.474,23.994,14.038,11.423
ENSMUSG00000021959,Lats2,8.667,7.997,8.727,8.243,5.77,6.701,7.468,4.794,5.731,6.165
ENSMUSG00000021961,4930578I06Rik,0,0.039,0.084,0,0,0,0,0,0,0
ENSMUSG00000021962,Dcp1a,12.266,11.236,12.091,8.937,7.576,8.459,8.067,7.183,7.107,8.918
ENSMUSG00000021963,Sap18,24.547,23.334,23.938,26.454,35.941,29.446,37.851,29.561,31.658,29.71
ENSMUSG00000021965,Ska3,5.634,5.469,4.52,3.995,5.41,5.057,4.259,4.613,5.228,6.476
ENSMUSG00000021967,Mrpl57,8.652,9.167,9.496,13.045,13.647,13.502,12.926,15.202,15.723,14.862
ENSMUSG00000021969,Zdhhc20,17.764,19.664,18.875,19.518,14.198,16.996,20.223,20.735,16.791,16.697
ENSMUSG00000021972,Hmbox1,7.405,6.196,5.959,5.355,3.742,4.072,3.704,3.551,3.621,4.51
ENSMUSG00000021973,Micu2,31.466,30.965,30.3,31.899,33.89,32.183,27.89,33.683,32.621,33.974
ENSMUSG00000021974,Fgf9,0.343,0.275,0.275,0.277,0.26,0.551,0.498,0.384,0.383,0.486
ENSMUSG00000021975,Ints9,13.49,10.082,11.433,8.851,13.702,12.718,10.478,12.041,13.138,13.705
ENSMUSG00000021977,1700129C05Rik,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000021978,Extl3,13.328,13.174,13.339,12.262,10.97,13.038,10.619,10.824,11.73,13.204
ENSMUSG00000021981,Cab39l,12.757,12.317,11.695,13.657,12.848,12.561,10.478,10.884,11.978,13.249
ENSMUSG00000021982,Cdadc1,16.56,15.094,14.567,18.292,14.785,16.716,12.429,13.963,14.167,14.516
ENSMUSG00000021983,Atp8a2,0.65,0.436,0.542,0.436,0.294,0.453,0.236,0.582,0.333,0.329
ENSMUSG00000021986,Amer2,0.2,0.328,0.432,0.232,0.166,0.513,0.303,0.737,0.472,0.44
ENSMUSG00000021987,Mtmr6,18.209,17.273,16.025,16.3,12.643,12.81,13.687,12.296,11.62,11.591
ENSMUSG00000021990,Spata13,2.738,3.437,3.63,4.288,2.804,3.399,1.81,1.346,2.109,2.471
ENSMUSG00000021991,Cacna2d3,0.237,0.23,0.388,0.256,0.444,0.356,0.246,0.665,0.347,0.237
ENSMUSG00000021993,Mipep,10.39,10.035,9.643,11.567,11.85,12.494,9.382,11.671,13.86,13.475
ENSMUSG00000021994,Wnt5a,4.275,6.326,6.692,7.878,5.959,5.91,3.786,4.604,3.458,4.099
ENSMUSG00000021996,Esd,24.671,38.985,25.999,39.179,54.549,38.164,38.357,31.732,41.923,39.06
ENSMUSG00000021997,Lrrc63,0.017,0,0,0.031,0,0,0,0.054,0.046,0
ENSMUSG00000021998,Lcp1,3.022,3.019,3.417,3.157,3.048,2.862,2.326,2.237,2.756,2.224
ENSMUSG00000021999,Cpb2,0.624,0.358,0.531,0.134,0.891,0.622,1.148,1.144,1.372,0.893
ENSMUSG00000022000,Zc3h13,13.691,13.263,13.768,12.159,14.488,14.546,17.6,20.754,13.274,14.276
ENSMUSG00000022002,Erich6b,0.625,0.466,0.5,0.454,0.142,0.183,0,0.838,0.268,0.597
ENSMUSG00000022003,Slc25a30,32.867,37.438,39.218,68.682,42.714,43.788,30.47,14.518,15.217,21.669
ENSMUSG00000022008,Gpalpp1,9.058,9.12,9.209,9.921,7.569,7.236,8.969,6.36,6.627,7.371
ENSMUSG00000022009,Nufip1,4.98,4.456,5.109,4.256,5.772,5.451,10.08,6.519,6.122,5.168
ENSMUSG00000022010,Tsc22d1,137.102,129.136,121.308,158.946,203.989,200.561,226.278,187.225,190.141,156.668
ENSMUSG00000022012,Enox1,2.27,2.748,2.239,2.989,3.111,3.509,3.535,2.358,2.891,3.297
ENSMUSG00000022013,Dnajc15,117.326,141.781,115.526,149.366,62.812,178.452,69.113,210.638,87.382,137.418
ENSMUSG00000022014,Epsti1,1.766,1.102,1.388,1.191,1.364,1.358,1.085,0.982,1.023,0.929
ENSMUSG00000022015,Tnfsf11,6.087,0.381,7.835,1.94,0.422,0.463,2.482,4.296,0.956,0.713
ENSMUSG00000022016,Akap11,12.473,11.359,11.465,10.523,5.14,6.489,6.481,5.327,4.728,5.453
ENSMUSG00000022018,Rgcc,28.379,27.768,30.45,74.556,115.448,77.601,58.467,21.822,59.946,48.609
ENSMUSG00000022019,Tdrd3,7.487,7.21,7.681,7.406,6.762,7.621,7.214,6.793,7.004,7.038
ENSMUSG00000022020,Naa16,4.185,5.764,4.811,4.915,3.525,3.758,4.283,5.431,3.276,3.861
ENSMUSG00000022021,Diaph3,4.718,3.863,2.987,3.113,3.5,3.101,2.185,2.354,3.289,3.645
ENSMUSG00000022022,Mtrf1,6.659,7.509,5.814,9.401,7.029,7.271,5.192,8.387,8.787,8.031
ENSMUSG00000022023,Wbp4,11.889,12.703,12.669,12.289,15.832,13.842,19.103,21.722,15.739,13.412
ENSMUSG00000022024,Sugt1,37.321,42.126,34.894,46.68,53.859,47.841,59.576,53.276,60.197,50.568
ENSMUSG00000022025,Lect1,35.996,60.713,29.533,29.649,37.602,40.9,28.746,26.852,22.162,83.455
ENSMUSG00000022031,Elp3,28.753,28.121,26.27,26.893,32.217,28.622,26.094,29.67,29.036,30.498
ENSMUSG00000022032,Scara5,0.932,0.865,1.413,1.527,1.414,1.588,1.814,0.971,0.58,1.073
ENSMUSG00000022033,Pbk,15.922,12.083,9.734,13.362,13.631,14.852,12.467,13.702,16.73,16.343
ENSMUSG00000022034,Esco2,6.611,7.802,4.683,4.69,5.126,4.796,5.395,3.758,5.427,6.166
ENSMUSG00000022035,Ccdc25,11.736,10.573,11.225,12.428,15.145,10.496,19.351,24.164,13.996,11.908
ENSMUSG00000022037,Clu,227.939,142.892,188.156,212.802,219.521,235.595,230.682,326.165,258.182,218.631
ENSMUSG00000022039,Adam2,0.229,0.254,0.29,0.17,0.145,0.14,0.884,0.125,0.107,0.266
ENSMUSG00000022040,Ephx2,380.492,365.576,294.571,465.876,637.594,242.442,1597.086,168.107,488.223,322.195
ENSMUSG00000022041,Chrna2,0.728,0.428,0.631,0.645,0.401,0.526,0.836,0.385,0.78,0.358
ENSMUSG00000022043,Trim35,41.719,41.138,37.659,47.749,38.15,39.229,34.062,26.405,36,35.944
ENSMUSG00000022044,Stmn4,0.196,0,0.045,0.021,0.086,0.104,0.158,0,0.081,0.042
ENSMUSG00000022048,Dpysl2,6.179,7.487,6.819,6.245,7.48,7.435,7.462,5.731,7.093,8.875
ENSMUSG00000022051,Bnip3l,40.311,41.335,35.779,36.34,39.223,35.868,35.119,44.454,40.656,38.999
ENSMUSG00000022052,Ppp2r2a,22.892,21.619,24.99,22.965,25.558,22.702,30.991,22.719,22.349,21.747
ENSMUSG00000022053,Ebf2,0.024,0.018,0.019,0.011,0.024,0.006,0.006,0.039,0.011,0.035
ENSMUSG00000022057,Adamdec1,0.603,0.017,0.215,0.439,0.592,1.166,0.501,1.07,1.33,0.937
ENSMUSG00000022061,Nkx3-1,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000022064,Pibf1,5.961,6.777,5.688,7.184,5.356,5.831,5.739,5.47,5.834,5.827
ENSMUSG00000022066,Gm21685,6.221,6.44,5.95,6.47,5.554,7.393,3.426,4.207,4.794,5.591
ENSMUSG00000022070,Bora,9.262,7.323,6.815,5.797,6.401,7.761,6.601,6.438,7.444,7.907
ENSMUSG00000022074,Tnfrsf10b,5.095,2.735,5.456,4.55,5.447,3.591,4.99,3.719,4.155,4.188
ENSMUSG00000022075,Rhobtb2,1.993,2.455,1.892,2.056,2.037,2.55,1.554,1.781,1.945,2.217
ENSMUSG00000022085,Pebp4,0.239,0.464,0.125,0.565,0.392,0.57,0.331,0.174,0.668,0.99
ENSMUSG00000022089,Bin3,16.559,15.363,14.195,14.692,20.587,16.933,19.525,18.615,20.657,17.423
ENSMUSG00000022090,Pdlim2,4.765,7.607,6.687,13.068,5.085,9.871,3.015,5.795,11.297,11.254
ENSMUSG00000022091,Sorbs3,18.955,19.081,22.08,25.395,30.977,38.945,21.871,22.733,26.527,25.905
ENSMUSG00000022092,Ppp3cc,15.088,14.459,12.743,12.669,14.007,15.863,14.355,13.859,17.237,17.994
ENSMUSG00000022094,Slc39a14,2.746,2.355,2.963,2.298,3.076,1.71,3.107,1.493,1.636,1.682
ENSMUSG00000022095,Fam160b2,7.381,5.838,8.343,6.843,5.992,7.188,5.031,7.53,5.83,6.378
ENSMUSG00000022096,Hr,0.525,0.346,0.434,0.729,0.712,0.345,0.815,0.25,0.517,0.611
ENSMUSG00000022097,Sftpc,2.025,3.024,1.298,1.52,0.919,4.259,1.078,9.004,3.867,4.365
ENSMUSG00000022098,Bmp1,24.515,25.328,25.943,24.157,25.337,25.098,20.633,25.182,23.243,24.179
ENSMUSG00000022099,Dmtn,0.451,0.534,0.554,0.664,0.966,0.43,0.45,0.452,0.504,0.422
ENSMUSG00000022100,Xpo7,7.079,6.73,7.004,6.333,4.776,5.356,4.487,4.387,4.858,5.456
ENSMUSG00000022101,Fgf17,0.272,0.072,0.283,0.14,0.195,0.189,0,0.108,0.253,0.118
ENSMUSG00000022102,Dok2,1.467,1.424,1.903,1.168,0.848,0.988,0.792,1.992,1.634,1.113
ENSMUSG00000022103,Gfra2,0.494,0.293,0.502,0.786,0.735,0.943,1.227,0.342,0.595,0.887
ENSMUSG00000022105,Rb1,8.114,7.29,6.367,5.217,4.673,4.958,5.074,3.391,4.93,5.111
ENSMUSG00000022106,Rcbtb2,5.922,6.5,5.498,6.236,4.903,5.413,4.857,4.894,5.648,5.938
ENSMUSG00000022108,Itm2b,336.852,361.197,324.345,355.827,302.857,387.778,310.597,367.614,361.056,360.315
ENSMUSG00000022109,Med4,23.437,22.221,23.003,21.98,32.22,26.567,35.342,31.143,30.786,30.122
ENSMUSG00000022110,Sucla2,24.864,25.7,21.224,26.198,27.347,24.902,28.472,26.623,27.305,24.659
ENSMUSG00000022111,Uchl3,27.684,30.406,25.972,36.667,45.668,40.249,48.628,35.972,45.765,39.749
ENSMUSG00000022114,Spry2,5.827,5.52,5.838,8.755,6.356,10.351,33.644,10.59,7.008,7.191
ENSMUSG00000022119,Rbm26,12.407,11.693,11.327,11.01,6.603,7.908,9.42,6.535,6.925,7.862
ENSMUSG00000022120,Rnf219,8.77,7.329,9.17,6.867,5.461,6.441,5.758,5.678,6.567,7.927
ENSMUSG00000022122,Ednrb,6.795,9.999,9.573,5.977,5.377,3.758,4.822,5.481,4.553,4.939
ENSMUSG00000022123,Scel,0.246,0.358,0.256,0.31,0.242,0.365,0.241,0.179,0.229,0.248
ENSMUSG00000022124,Fbxl3,15.34,16.32,13.639,14.702,11.45,11.393,15.879,8.913,10.784,11.042
ENSMUSG00000022125,Cln5,14.602,13.92,14.388,13.542,19.83,13.844,40.677,13.966,12.587,13.781
ENSMUSG00000022129,Dct,0,0.018,0,0,0.091,0,0.019,0,0,0.018
ENSMUSG00000022130,Tgds,5.88,6.262,5.278,7.363,7.699,5.854,5.398,4.965,6.537,5.986
ENSMUSG00000022131,Gpr180,10.521,9.903,10.698,9.455,12.621,9.758,12.191,11.046,12.455,11.463
ENSMUSG00000022132,Cldn10,0.435,1.032,0.319,0.502,0.443,1.706,0.669,1.335,1.305,0.77
ENSMUSG00000022136,Dnajc3,38.002,35.451,35.884,34.791,33.868,27.759,36.947,32.15,28.604,27.945
ENSMUSG00000022139,Mbnl2,46.951,43.251,42.337,42.864,32.17,32.997,28.725,32.626,29.873,30.662
ENSMUSG00000022141,Nipbl,17.292,16.335,16.23,16.012,8.904,11.745,11.691,14.498,8.535,9.296
ENSMUSG00000022142,Nup155,10.095,9.033,8.264,9.305,6.781,6.935,6.508,5.163,5.312,6.522
ENSMUSG00000022144,Gdnf,2.701,1.605,2.527,2.112,1.239,2.508,5.819,2.673,3.212,2.33
ENSMUSG00000022146,Osmr,1.458,1.241,1.084,1.282,2.832,0.858,4.631,0.714,1.056,0.586
ENSMUSG00000022148,Fyb,0.958,0.75,0.822,0.912,0.847,0.66,0.66,1.264,0.412,0.661
ENSMUSG00000022150,Dab2,31.594,22.433,27.995,19.809,19.297,19.639,21.211,21.065,20.109,20.797
ENSMUSG00000022151,Ttc33,9.342,9.912,8.401,10.061,10.49,9.849,9.982,9.956,9.918,9.218
ENSMUSG00000022155,Mroh2b,0.064,0.046,0.058,0.045,0.031,0.099,0.141,0.131,0.111,0.099
ENSMUSG00000022159,Rab2b,1.254,0.993,1.337,0.975,0.522,0.555,0.364,0.437,0.411,0.441
ENSMUSG00000022160,Mettl3,4.772,3.822,4.398,4.507,4.331,4.036,4.245,3.634,4.398,4.049
ENSMUSG00000022174,Dad1,17.527,18.525,17.707,20.407,28.604,20.001,30.125,41.889,28.403,20.479
ENSMUSG00000022175,Lrp10,14.977,16.265,16.764,16.104,20.54,19.431,15.862,17.524,19.991,19.972
ENSMUSG00000022176,Rem2,3.394,0.18,0.773,0.175,0.638,0.159,0.424,0.526,1.537,0.638
ENSMUSG00000022177,Haus4,10.891,10.598,8.355,9.142,12.513,13.449,11.72,13.541,14.154,13.569
ENSMUSG00000022178,Ajuba,10.5,8.897,8.935,7.394,7.285,8.742,9.22,7.863,10.184,8.014
ENSMUSG00000022179,4931414P19Rik,2.277,2.618,2.186,2.181,3.682,3.697,1.644,1.638,2.992,3.749
ENSMUSG00000022180,Slc7a8,27.858,21.605,29.579,34.097,33.685,29.502,100.351,23.289,15.158,18.51
ENSMUSG00000022181,C6,0.134,0.04,0.011,0.147,0.051,0.049,0,0.068,0.039,0
ENSMUSG00000022184,Fbxo4,6.996,6.514,6.711,7.184,7.757,6.186,9.192,6.984,6.284,6.429
ENSMUSG00000022185,Acin1,23.523,21.245,22.855,22.031,19.891,22.523,21.254,31.484,21.694,22.316
ENSMUSG00000022186,Oxct1,40.509,49.374,36.519,46.339,44.922,33.429,47.642,42.33,40.239,39.263
ENSMUSG00000022187,Gm5546,0.105,0.029,0,0,0,0,0.031,0.016,0.07,0.043
ENSMUSG00000022191,Drosha,12.594,10.415,12.235,10.683,11.298,11.723,9.944,10.082,11.055,12.688
ENSMUSG00000022193,Psmb5,49.372,52.298,47.965,85.187,96.193,65.102,93.877,92.154,99.589,79.16
ENSMUSG00000022194,Pabpn1,17.636,18.254,18.521,15.199,16.142,18.08,16.57,22.111,17.53,18.382
ENSMUSG00000022195,6030458C11Rik,9.876,8.801,9.025,9.147,7.609,7.926,7.069,5.682,7.383,7.526
ENSMUSG00000022197,Pdzd2,1.674,1.533,1.516,1.233,0.737,1.295,0.805,0.921,1.067,1.135
ENSMUSG00000022199,Slc22a17,21.931,17.525,25.053,15.416,18.118,17.428,11.566,16.274,18.534,16.966
ENSMUSG00000022200,Golph3,39.315,36.841,36.934,39.894,33.725,33.83,41.807,26.695,31.63,30.972
ENSMUSG00000022201,Zfr,26.776,33.239,28.242,32.162,20.769,24.063,29.822,21.243,21.394,22.877
ENSMUSG00000022203,Efs,7.073,3.915,5.515,1.369,4.125,1.951,2.161,2.346,3.276,2.3
ENSMUSG00000022204,Ngdn,25.545,28.822,23.769,29.618,44.044,33.471,52.474,45.3,42.139,33.753
ENSMUSG00000022205,Sub1,27.897,34.484,27.865,35.101,42.617,40.803,68.341,38.207,48.791,39.299
ENSMUSG00000022206,Npr3,0.753,1.211,1.136,0.962,1.202,1.431,4.112,0.756,1.021,0.812
ENSMUSG00000022208,Jph4,0.091,0.1,0.133,0.138,0.084,0.099,0.076,0.119,0.124,0.064
ENSMUSG00000022209,Dhrs2,0.263,0.192,0.377,0.218,0.291,0.377,0.65,0.574,0.705,0.723
ENSMUSG00000022210,Dhrs4,19.524,17.289,19.641,19.769,24.353,20.311,19.837,27.808,24.772,20.828
ENSMUSG00000022211,Carmil3,7.156,4.991,7.309,4.855,3.136,5.086,3.342,8.877,4.175,5.451
ENSMUSG00000022214,Dcaf11,7.734,9.07,8.986,13.313,8.831,10.031,8.187,10.905,10.407,11.351
ENSMUSG00000022215,Fitm1,0.086,0.084,0.179,0.366,0.127,0.082,0.089,0.329,0.321,0.123
ENSMUSG00000022216,Psme1,40.238,39.261,47.291,62.216,66.31,70.266,62.647,92.066,71.252,73.906
ENSMUSG00000022217,Emc9,2.574,2.713,3.033,4.99,3.962,4.523,2.48,3.731,4.21,4.433
ENSMUSG00000022218,Tgm1,0.181,0.108,0.116,0.144,0.764,0.159,1.976,0.242,0.103,0.119
ENSMUSG00000022219,Cideb,0.168,0.081,0.058,0.026,0.11,0.107,0.232,0.122,0.078,0.053
ENSMUSG00000022220,Adcy4,1.372,2.675,2.223,2.174,2.345,2.037,2.651,1.626,2.176,2.176
ENSMUSG00000022221,Ripk3,2.296,1.444,1.505,1.606,2.925,2.088,2.406,1.785,2.276,1.807
ENSMUSG00000022223,Sdr39u1,17.878,14.809,16.808,16.143,17.905,19.358,16.585,18.531,20.478,22.346
ENSMUSG00000022225,Cma1,0.078,0.226,0.162,0.184,0.229,0.111,0.161,0.721,0.109,0.111
ENSMUSG00000022228,Zscan26,11.825,13.212,12.9,13.403,8.073,10.504,7.866,7.406,8.038,9.643
ENSMUSG00000022229,Atp12a,0,0.072,0.429,0.09,0.187,0.06,0.296,0.092,0.059,0.071
ENSMUSG00000022231,Sema5a,54.08,30.583,44.101,16.049,10.951,13.211,19.233,24.059,16.996,18.251
ENSMUSG00000022234,Cct5,120.331,121.219,102.098,147.146,157.87,137.335,189.439,155.159,155.009,148.764
ENSMUSG00000022235,Cmbl,12.342,24.719,18.409,28.028,14.367,20.007,5.79,15.979,26.552,22.504
ENSMUSG00000022236,Ropn1l,1.422,1.247,1.481,1.17,2.074,1.313,0.953,2.952,2.392,1.753
ENSMUSG00000022237,Ankrd33b,0.163,0.331,0.424,0.199,0.16,0.137,0.204,0.23,0.174,0.156
ENSMUSG00000022240,Ctnnd2,0.056,0.041,0.051,0.007,0.069,0.027,0.037,0.085,0.059,0.04
ENSMUSG00000022241,Tars,27.258,25.629,27.971,30.541,37.544,27.267,47.795,26.616,29.162,26.716
ENSMUSG00000022244,Amacr,3.437,3.179,2.769,4.364,4.685,4.284,3.233,3.766,4.241,4.243
ENSMUSG00000022246,Rai14,23.293,26.786,26.954,20.98,18.131,18.542,23.608,14.191,17.771,21.093
ENSMUSG00000022247,Brix1,20.378,21.028,20.519,22.448,25.631,23.839,37.513,23.439,26.582,23.918
ENSMUSG00000022248,Rad1,1.918,1.983,2.15,1.881,2.844,2.12,2.162,1.938,2.374,2.495
ENSMUSG00000022249,Ttc23l,0.096,0.019,0.06,0.018,0,0,0.357,0.083,0,0.018
ENSMUSG00000022253,Nadk2,9.907,10.055,8.214,9.255,7.47,8.715,6.745,5.449,7.021,8.912
ENSMUSG00000022255,Mtdh,8.978,11.244,9.815,11.255,11.211,12.401,16.806,17.619,11.756,11.413
ENSMUSG00000022257,Laptm4b,51.544,73.747,43.634,65.84,82.645,72.419,79.076,68.328,78.238,68.425
ENSMUSG00000022261,Sdc2,27.762,29.852,25.99,25.326,27.16,24.597,29.938,28.205,26.533,28.474
ENSMUSG00000022262,Dnah5,0.027,0.026,0.092,0.209,0.011,0.023,0.017,0,0.007,0.013
ENSMUSG00000022263,Trio,8.042,8.339,8.071,7.162,3.241,5.346,4.805,4.032,4.429,4.632
ENSMUSG00000022265,Ank,9.882,13.872,9.447,4.917,4.378,5.375,4.975,4.997,8.617,5.139
ENSMUSG00000022269,March11,0.044,0.085,0.046,0.042,0.029,0.056,0.076,0.144,0.123,0.14
ENSMUSG00000022270,Fam134b,3.656,3.694,4.054,4.654,3.139,3.475,2.902,2.925,3.322,3.599
ENSMUSG00000022272,Myo10,16.124,12.14,14.744,11.662,9.757,11.704,8.155,11.533,8.961,11.114
ENSMUSG00000022280,Rnf19a,19.498,17.297,15.423,22.073,22.406,20.655,21.992,11.318,15.76,17.066
ENSMUSG00000022283,Pabpc1,112.946,94.206,110.793,119.321,131.599,134.848,137.181,98.863,125.624,131.476
ENSMUSG00000022285,Ywhaz,120.281,116.665,114.505,135.873,123.707,110.329,292.261,83.519,113.576,104.785
ENSMUSG00000022286,Grhl2,0.068,0.059,0.071,0.093,0.045,0.145,0.031,0.058,0.056,0.094
ENSMUSG00000022292,Rrm2b,4.125,3.375,4.424,4.728,2.492,3.242,2.465,2.143,2.644,3.011
ENSMUSG00000022295,Atp6v1c1,20.487,20.37,21.54,23.426,25.534,22.35,26.546,21.668,23.518,20.937
ENSMUSG00000022296,Baalc,0.131,0,0.205,0.062,1.034,0.063,1.365,0.072,0.061,0.251
ENSMUSG00000022297,Fzd6,4.282,4.715,5.258,3.567,3.226,2.842,2.727,2.929,2.454,2.807
ENSMUSG00000022299,Slc25a32,4.82,4.94,5.108,4.9,3.386,3.218,4.932,3.386,3.193,2.952
ENSMUSG00000022300,Dcaf13,28.237,32.688,25.142,34.011,37.565,30.629,51.461,34.931,38.412,32.061
ENSMUSG00000022303,Dcstamp,0.084,0.02,0.022,0.059,0.041,0,0.044,0.046,0.019,0.02
ENSMUSG00000022304,Dpys,0.041,0.08,0.072,0.013,0.095,0.039,0,0.075,0.115,0.013
ENSMUSG00000022305,Lrp12,5.039,5.431,5.779,4.586,3.247,3.961,5.943,2.727,3.543,3.644
ENSMUSG00000022306,Zfpm2,5.901,4.123,4.571,3.63,4.289,3.322,3.643,2.371,2.297,3.824
ENSMUSG00000022307,Oxr1,13.402,15.96,12.642,16.61,11.336,12.775,10.006,8.268,10.173,10.755
ENSMUSG00000022309,Angpt1,5.621,7.018,5.107,10.996,4.136,4.089,3.005,4.161,4.045,4.123
ENSMUSG00000022311,Csmd3,0.049,0.017,0.021,0.016,0.005,0.019,0.026,0.013,0.012,0.019
ENSMUSG00000022312,Eif3h,155.739,152.371,149.329,158.613,184.489,183.337,200.199,202.097,222.385,202.093
ENSMUSG00000022313,Utp23,4.647,4.849,4.94,5.179,5.389,5.031,5.854,8.567,5.274,4.705
ENSMUSG00000022314,Rad21,52.582,52.705,45.451,46.7,40.917,44.549,39.192,36.395,37.946,42.268
ENSMUSG00000022321,Cdh10,0.1,0.024,0.035,0.035,0.037,0.016,0.056,0.009,0.019,0.024
ENSMUSG00000022322,Shcbp1,3.316,3.058,2.051,3.213,3.455,2.986,3.154,2.741,3.568,3.186
ENSMUSG00000022323,Rida,5.69,6.259,4.849,9.016,5.797,9.057,5.772,6.233,9.971,9.232
ENSMUSG00000022324,Matn2,15.113,15.756,9.148,23.063,17.429,18.737,10.999,12.745,13.873,12.532
ENSMUSG00000022325,Pop1,4.577,4.047,4.067,4.841,3.352,3.137,5.552,4.319,4.322,3.625
ENSMUSG00000022329,Stk3,17.296,19.481,17.338,19.439,17.01,16.115,14.8,16.583,15.019,16.126
ENSMUSG00000022330,Osr2,18.076,10.208,17.965,22.63,24.028,22.025,5.41,22.83,14.458,23.908
ENSMUSG00000022332,Khdrbs3,24.028,20.338,20.435,20.183,30.376,23.107,33.613,29.363,25.208,24.091
ENSMUSG00000022335,Zfat,1.563,1.456,1.686,1.599,1.317,1.741,1.463,1.387,1.598,1.661
ENSMUSG00000022336,Eif3e,172.285,232.982,155.189,218.003,211.063,244.708,271.324,284.307,278.018,248.478
ENSMUSG00000022337,Emc2,32.864,38.118,28.738,46.74,49.171,50.279,50.493,40.226,54.283,47.597
ENSMUSG00000022338,Eny2,18.409,21.957,17.414,21.782,23.615,25,31.646,25.66,28.063,22.935
ENSMUSG00000022339,Ebag9,11.795,13.942,11.53,15.103,15.114,14.591,11.332,10.5,12.797,12.722
ENSMUSG00000022340,Sybu,2.413,2.545,1.884,2.629,2.041,2.456,1.229,3.82,1.555,2.138
ENSMUSG00000022346,Myc,33.007,22.702,29.441,21.418,31.063,24.124,20.52,16.807,20.082,21.986
ENSMUSG00000022347,A1bg,0.344,0.289,0.358,0.346,0.315,0.328,0.238,0.475,0.469,0.547
ENSMUSG00000022350,E430025E21Rik,18.162,16.203,17.187,17.415,13.229,14.241,11.086,11.518,13.147,13.451
ENSMUSG00000022351,Sqle,8.62,16.054,11.507,16.748,12.592,13.139,27.829,7.035,13.559,13.036
ENSMUSG00000022353,Mtss1,5.911,7.142,6.488,4.788,3.322,3.93,2.96,3.778,3.358,4.144
ENSMUSG00000022354,Ndufb9,111.847,129.673,119.468,167.451,197.022,188.212,188.336,273.518,215.926,176.907
ENSMUSG00000022357,Klhl38,0.226,0.495,0.314,0.071,0.185,0.09,0.098,0.103,0.123,0.126
ENSMUSG00000022358,Fbxo32,6.537,6.012,5.835,4.536,4.271,4.139,2.9,5.067,3.659,4.048
ENSMUSG00000022359,Wdyhv1,8.369,9.473,8.78,10.14,9.28,9.669,12.068,10.091,9.113,10.467
ENSMUSG00000022360,Atad2,10.315,8.721,8.667,7.506,6.151,6.411,6.21,6.802,5.04,6.666
ENSMUSG00000022361,Zhx1,9.373,11.054,9.183,12.532,7.837,9.217,6.47,7.224,7.256,7.961
ENSMUSG00000022364,Tbc1d31,4.604,4.062,3.858,4.174,4.782,4.203,4.944,2.997,3.724,3.583
ENSMUSG00000022365,Derl1,33.268,33.117,33.604,35.74,51.428,34.287,77.128,35.004,38.826,35.351
ENSMUSG00000022367,Has2,0.227,0.086,0.103,0.223,0.116,0.113,1.893,0.032,0.046,0.085
ENSMUSG00000022369,Mtbp,2.59,2.41,2.57,2.568,2.852,2.695,2.041,1.894,2.354,2.605
ENSMUSG00000022370,Mrpl13,4.872,5.464,4.744,5.887,8.071,7.005,7.042,8.881,7.874,6.673
ENSMUSG00000022371,Col14a1,0.572,0.792,0.285,1.203,0.31,0.721,0.204,0.435,0.826,0.711
ENSMUSG00000022372,Sla,0.423,0.318,0.336,0.476,0.281,0.338,0.448,0.243,0.296,0.182
ENSMUSG00000022375,Lrrc6,0.541,0.311,0.355,0.284,0.236,0.172,0.416,0.328,0.317,0.364
ENSMUSG00000022376,Adcy8,0.017,0.072,0.043,0.016,0.008,0.032,0.069,0.018,0.031,0.063
ENSMUSG00000022377,Asap1,9.202,14.446,10.122,10.591,7.65,9.303,5.273,4.905,8.248,8.32
ENSMUSG00000022378,Fam49b,17.546,17.053,17.304,17.18,15.154,16.92,18.164,14.25,16.343,18.037
ENSMUSG00000022382,Wnt7b,0.265,0.156,0.276,0.116,0.056,0.189,0.206,0.258,0.757,0.253
ENSMUSG00000022383,Ppara,2.166,2.039,2.301,2.282,0.567,0.83,0.463,1.484,0.598,0.707
ENSMUSG00000022385,Gtse1,5.708,3.604,3.627,3.202,5.187,4.361,3.505,4.166,4.656,4.778
ENSMUSG00000022386,Trmu,3.551,3.61,3.894,4.564,4.285,4.018,3.677,4.113,4.195,4.305
ENSMUSG00000022387,Brd1,11.636,9.835,11.282,8.996,6.938,8.724,7.682,6.137,7.822,8.041
ENSMUSG00000022388,Ttll8,0,0.012,0.013,0,0,0,0.013,0,0,0
ENSMUSG00000022389,Tef,9.539,9.703,13.421,8.386,4.173,14.531,5.876,9.939,8.257,7.428
ENSMUSG00000022390,Zc3h7b,20.013,18.182,19.635,18.257,14.524,18.46,13.491,12.494,14.82,17.717
ENSMUSG00000022391,Rangap1,19.763,15.903,18.088,19.007,26.246,21.429,26.788,25.437,26.022,22.801
ENSMUSG00000022394,L3mbtl2,2.879,2.277,2.72,2.328,3.334,2.585,2.895,2.719,2.922,3.126
ENSMUSG00000022400,Rbx1,40.161,44.249,38.824,50.264,62.574,48.818,63.342,61.291,59.339,52.504
