,MGI_Symbol,7558_S28,7707_S27,7713_S29,7715_S30,7801_S23,7802_S26,7803_S24,7804_S20,7805_S21,7807_S25
ENSMUSG00000105021,Gm8234,0.566,0.879,0.825,0.962,0.89,0.54,0.94,0.74,1.194,0.684
ENSMUSG00000105024,Gm43561,0.28,0.995,0.776,1.144,1.374,0.889,1.452,2.744,2.082,1.335
ENSMUSG00000105031,Gm3511,449.43,412.219,396.161,477.354,562.559,495.211,569.559,718.406,611.14,590.541
ENSMUSG00000105033,Gm43423,0.319,0.6,0.706,0.433,1.332,0.666,0.849,0.87,0.464,0.819
ENSMUSG00000105034,Gm43348,0.315,0.459,0.41,0.223,0.155,0.826,0.736,1.117,0.88,0.451
ENSMUSG00000105039,Gm42637,0.219,0.106,0.228,0.052,0.322,0.469,0.057,0.298,0.254,0.313
ENSMUSG00000105042,Gm42509,0.374,0.208,0.223,0.454,0.21,0.051,0.111,0.058,0,0.051
ENSMUSG00000105044,Gm10416,1.165,0.942,1.483,1.834,1.018,1.852,0.739,1.623,0.663,1.607
ENSMUSG00000105045,Rpl9-ps8,0.074,0,0.077,0.14,0.073,0.213,0.54,0.324,0.207,0.071
ENSMUSG00000105052,Gm21655,7.199,11.32,10.667,14.379,8.537,7.897,5.844,6.688,6.283,5.576
ENSMUSG00000105059,Gm42498,0,0.03,0,0.086,0,0,0.095,0.033,0.028,0.087
ENSMUSG00000105061,Gm6740,5.847,5.769,6.692,6.023,7.408,5.3,6.021,5.217,5.218,4.892
ENSMUSG00000105063,Gm43488,0.067,0.162,0.139,0.142,0.049,0.064,0.069,0.073,0.062,0.111
ENSMUSG00000105071,Gm43336,0.056,0.036,0.106,0.053,0.055,0.062,0.135,0.111,0.043,0.044
ENSMUSG00000105076,A930003O13Rik,0.094,0.104,0.065,0.137,0.062,0.102,0.059,0.062,0.117,0.084
ENSMUSG00000105077,Gm4859,18.408,18.538,14.694,17.483,21.375,19.935,23.743,28.347,23.95,22.092
ENSMUSG00000105078,Gm35911,0.034,0.033,0.178,0.322,0.134,0.163,0.142,0.149,0.159,0.098
ENSMUSG00000105081,Gm43110,24.939,29.409,21.352,40.646,43.754,42.287,43.93,42.506,45.741,37.584
ENSMUSG00000105082,Aqp10-ps,0.752,0.73,1.138,0.323,0.403,0.847,0.213,0.969,0.763,0.457
ENSMUSG00000105093,Gm17815,0.187,0.272,0.243,0.264,0.046,0.044,0.291,0,0.087,0.223
ENSMUSG00000105095,8430422M14Rik,1.727,1.775,2.115,1.727,1.448,1.55,1.477,1.551,1.607,1.407
ENSMUSG00000105096,Gbp10,0.744,0.283,0.516,0.56,0.456,0.72,0.179,0.188,0.211,0.206
ENSMUSG00000105100,Gm44349,4.073,1.977,2.828,5.449,2.669,3.237,2.82,2.961,4.739,4.863
ENSMUSG00000105107,Gm43412,0.059,0.014,0.062,0.084,0.029,0.057,0.077,0.048,0.069,0.042
ENSMUSG00000105112,Gm42778,3.095,4.104,2.516,2.21,0.445,0.432,0.627,0.823,1.406,1.659
ENSMUSG00000105114,Amd-ps5,0.507,0.492,0.703,0.638,0.581,0.403,0.57,0.184,0.118,0.282
ENSMUSG00000105124,Gm5297,0.285,0,0.037,0.135,0.175,0.238,0.222,0.467,0.166,0.034
ENSMUSG00000105130,Gm43825,0.284,0.276,0.355,0.43,0.112,0.543,0.177,0,0.212,0.217
ENSMUSG00000105135,Gm43667,1.068,1.814,2.461,2.088,3.185,1.891,1.742,1.746,1.988,1.967
ENSMUSG00000105136,8030487O14Rik,0,0.135,0.048,0.306,0.273,0.176,0.144,0.303,0.043,0.088
ENSMUSG00000105139,Gm43223,1.166,1.389,1.141,1.018,1.163,1.095,1.046,0.809,1.085,0.996
ENSMUSG00000105140,Gm43127,0.284,0.16,0.203,0.17,0.074,0.128,0.031,0.147,0.098,0.043
ENSMUSG00000105143,Gm8069,27.111,30,26.536,36.609,50.355,46.026,51.519,32.816,48.453,41.431
ENSMUSG00000105144,Rpl21-ps11,8.959,11.314,7.427,11.828,12.993,12.527,19.329,44.39,21.456,16.2
ENSMUSG00000105153,Gm3143,1.609,2.153,1.63,0.534,2.18,2.406,2.574,3.083,3.279,2.659
ENSMUSG00000105156,Gm9057,10.861,11.227,14.981,15.584,16.218,17.758,18.601,13.382,19.825,17.244
ENSMUSG00000105161,Gm42595,1.975,1.412,1.813,1.178,1.583,1.14,2.077,1.388,1.669,1.787
ENSMUSG00000105171,Gm5288,0.149,0.362,0.427,0.388,0.66,0.463,0.581,0.732,0.208,0.499
