,gene,no_rows,n
633,zma-MIR156f,23,23
130,Zm00001d010113,22,22
200,Zm00001d016322,22,22
224,Zm00001d019693,22,22
231,Zm00001d020274,22,22
436,Zm00001d036623,22,22
461,Zm00001d038941,22,22
377,Zm00001d032634,21,21
389,Zm00001d034024,21,21
460,Zm00001d038680,21,21
605,Zm00001d051653,21,21
12,Zm00001d000908,20,20
208,Zm00001d017404,20,20
266,Zm00001d023568,20,20
370,Zm00001d032047,20,20
400,Zm00001d035080,20,20
572,Zm00001d048273,20,20
619,Zm00001d052898,20,20
50,Zm00001d003982,19,19
124,Zm00001d009553,19,19
181,Zm00001d014834,19,19
202,Zm00001d016508,19,19
222,Zm00001d019277,19,19
290,Zm00001d025225,19,19
333,Zm00001d028467,19,19
25,Zm00001d001440,18,18
102,Zm00001d008091,18,18
178,Zm00001d014494,18,18
239,Zm00001d021205,18,18
347,Zm00001d029669,18,18
533,Zm00001d044954,18,18
601,Zm00001d051410,18,18
639,zma-MIR168b,18,18
36,Zm00001d002074,17,17
116,Zm00001d008872,17,17
212,Zm00001d018321,17,17
281,Zm00001d024798,17,17
506,Zm00001d043024,17,17
146,Zm00001d011653,16,16
287,Zm00001d025040,16,16
364,Zm00001d031146,16,16
368,Zm00001d031765,16,16
455,Zm00001d038384,16,16
550,Zm00001d046429,16,16
571,Zm00001d048244,16,16
588,Zm00001d049677,16,16
30,Zm00001d001686,15,15
43,Zm00001d002917,15,15
84,Zm00001d007015,15,15
497,Zm00001d041788,15,15
636,zma-MIR166a,15,15
28,Zm00001d001572,14,14
29,Zm00001d001600,14,14
89,Zm00001d007411,14,14
98,Zm00001d008003,14,14
154,Zm00001d012703,14,14
350,Zm00001d029835,14,14
573,Zm00001d048316,14,14
589,Zm00001d049792,14,14
325,Zm00001d027695,13,13
451,Zm00001d037909,13,13
519,Zm00001d043713,13,13
60,Zm00001d004602,12,12
65,Zm00001d005007,12,12
211,Zm00001d017697,12,12
217,Zm00001d018823,12,12
288,Zm00001d025112,12,12
317,Zm00001d027168,12,12
380,Zm00001d032887,12,12
594,Zm00001d050598,12,12
64,Zm00001d004865,11,11
78,Zm00001d006618,11,11
155,Zm00001d012706,11,11
320,Zm00001d027216,11,11
356,Zm00001d030735,11,11
481,Zm00001d040773,11,11
640,zma-MIR169d,11,11
